Host Country,Year,Age,Primary %,Secondary %,Tertiary %,COB
Turkey,'13,25 to 54,33,40.7,26.3,EU-28
Turkey,'13,25 to 54,39.2,33.1,27.7,Extra-EU-28
Turkey,'13,25 to 54,34.6,38.7,26.6,Foreign country
Turkey,'13,25 to 54,65.8,18.6,15.6,Reporting country
Turkey,'13,25 to 54,65.3,19,15.8,Total
Turkey,'13,30 to 34,29,40.3,30.8,EU-28
Turkey,'13,30 to 34,42,33.6,24.4,Extra-EU-28
Turkey,'13,30 to 34,32.2,38.6,29.2,Foreign country
Turkey,'13,30 to 34,58.2,22.5,19.3,Reporting country
Turkey,'13,30 to 34,57.7,22.8,19.5,Total
Turkey,'14,25 to 54,29.5,40,30.5,EU-28
Turkey,'14,25 to 54,58.1,21.5,20.4,Extra-EU-28
Turkey,'14,25 to 54,42.5,31.6,25.9,Foreign country
Turkey,'14,25 to 54,64.9,18.6,16.4,Reporting country
Turkey,'14,25 to 54,64.4,18.9,16.7,Total
Turkey,'14,30 to 34,26.2,31,42.8,EU-28
Turkey,'14,30 to 34,58.7,21.4,20,Extra-EU-28
Turkey,'14,30 to 34,43.6,25.8,30.6,Foreign country
Turkey,'14,30 to 34,56.6,22.2,21.3,Reporting country
Turkey,'14,30 to 34,56.2,22.2,21.5,Total
Turkey,'15,25 to 54,29.6,37.7,32.6,EU-28
Turkey,'15,25 to 54,54.6,22.7,22.7,Extra-EU-28
Turkey,'15,25 to 54,41.8,30.4,27.8,Foreign country
Turkey,'15,25 to 54,63.2,18.8,18,Reporting country
Turkey,'15,25 to 54,62.7,19.1,18.2,Total
Turkey,'15,30 to 34,25.5,27.7,46.8,EU-28
Turkey,'15,30 to 34,46.5,29.5,24,Extra-EU-28
Turkey,'15,30 to 34,37.5,28.7,33.8,Foreign country
Turkey,'15,30 to 34,54.4,22.2,23.4,Reporting country
Turkey,'15,30 to 34,54,22.4,23.6,Total
Turkey,'16,25 to 54,27.7,38.5,33.8,EU-28
Turkey,'16,25 to 54,60.6,18.6,20.8,Extra-EU-28
Turkey,'16,25 to 54,45.3,27.9,26.8,Foreign country
Turkey,'16,25 to 54,61.4,18.9,19.6,Reporting country
Turkey,'16,25 to 54,61,19.2,19.8,Total
Turkey,'16,30 to 34,18.6,26.4,55,EU-28
Turkey,'16,30 to 34,59.2,17,23.8,Extra-EU-28
Turkey,'16,30 to 34,42.3,20.9,36.8,Foreign country
Turkey,'16,30 to 34,51.3,22.5,26.2,Reporting country
Turkey,'16,30 to 34,51,22.5,26.5,Total
Switzerland,'06,25 to 54,25.8,38.6,35.6,EU-28
Switzerland,'06,25 to 54,34.7,40,25.3,Extra-EU-28
Switzerland,'06,25 to 54,30,39.2,30.8,Foreign country
Switzerland,'06,25 to 54,6.1,61.9,31.9,Reporting country
Switzerland,'06,30 to 34,20.5,35.5,44,EU-28
Switzerland,'06,30 to 34,35.1,37.1,27.9,Extra-EU-28
Switzerland,'06,30 to 34,28.3,36.4,35.4,Foreign country
Switzerland,'06,30 to 34,4.2,61.1,34.8,Reporting country
Switzerland,'07,25 to 54,25.2,36.5,38.3,EU-28
Switzerland,'07,25 to 54,34.2,39.3,26.6,Extra-EU-28
Switzerland,'07,25 to 54,29.5,37.8,32.7,Foreign country
Switzerland,'07,25 to 54,5.7,61.4,33,Reporting country
Switzerland,'07,30 to 34,21.3,34.8,43.9,EU-28
Switzerland,'07,30 to 34,30.2,40.3,29.5,Extra-EU-28
Switzerland,'07,30 to 34,26,37.7,36.3,Foreign country
Switzerland,'07,30 to 34,3.1,60.4,36.5,Reporting country
Switzerland,'08,25 to 54,23.1,36.1,40.8,EU-28
Switzerland,'08,25 to 54,32,39.9,28.1,Extra-EU-28
Switzerland,'08,25 to 54,27.3,37.9,34.9,Foreign country
Switzerland,'08,25 to 54,5.2,59.1,35.6,Reporting country
Switzerland,'08,30 to 34,17.5,33.6,48.8,EU-28
Switzerland,'08,30 to 34,28.2,40.5,31.3,Extra-EU-28
Switzerland,'08,30 to 34,23,37.2,39.8,Foreign country
Switzerland,'08,30 to 34,2.2,55.6,42.2,Reporting country
Switzerland,'09,25 to 54,21.9,35.7,42.5,EU-28
Switzerland,'09,25 to 54,31.2,39.7,29.2,Extra-EU-28
Switzerland,'09,25 to 54,26,37.5,36.6,Foreign country
Switzerland,'09,25 to 54,5.2,57.8,37,Reporting country
Switzerland,'09,30 to 34,17.2,33.8,49,EU-28
Switzerland,'09,30 to 34,27.9,37.5,34.6,Extra-EU-28
Switzerland,'09,30 to 34,22.3,35.5,42.2,Foreign country
Switzerland,'09,30 to 34,2.2,53.6,44.2,Reporting country
Switzerland,'10,25 to 54,21.3,36.1,42.5,EU-28
Switzerland,'10,25 to 54,32.4,39.3,28.3,Extra-EU-28
Switzerland,'10,25 to 54,26.3,37.6,36.2,Foreign country
Switzerland,'10,25 to 54,5.9,56.3,37.8,Reporting country
Switzerland,'10,25 to 54,12.8,50,37.2,Total
Switzerland,'10,30 to 34,15.1,34.8,50,EU-28
Switzerland,'10,30 to 34,28.8,39.8,31.5,Extra-EU-28
Switzerland,'10,30 to 34,21.4,37.1,41.4,Foreign country
Switzerland,'10,30 to 34,3.5,50.6,45.9,Reporting country
Switzerland,'10,30 to 34,10.5,45.3,44.2,Total
Switzerland,'11,25 to 54,21.5,35.9,42.6,EU-28
Switzerland,'11,25 to 54,32.6,38.8,28.6,Extra-EU-28
Switzerland,'11,25 to 54,26.5,37.2,36.3,Foreign country
Switzerland,'11,25 to 54,6,56,38,Reporting country
Switzerland,'11,25 to 54,13.1,49.5,37.4,Total
Switzerland,'11,30 to 34,15.1,35.7,49.2,EU-28
Switzerland,'11,30 to 34,27.4,39.9,32.7,Extra-EU-28
Switzerland,'11,30 to 34,20.9,37.7,41.4,Foreign country
Switzerland,'11,30 to 34,3.9,50.8,45.3,Reporting country
Switzerland,'11,30 to 34,10.7,45.5,43.8,Total
Switzerland,'12,25 to 54,20.6,35,44.5,EU-28
Switzerland,'12,25 to 54,32.5,38.6,28.9,Extra-EU-28
Switzerland,'12,25 to 54,25.9,36.5,37.6,Foreign country
Switzerland,'12,25 to 54,5.1,55.5,39.4,Reporting country
Switzerland,'12,25 to 54,12.5,48.8,38.7,Total
Switzerland,'12,30 to 34,14.2,34.8,51.1,EU-28
Switzerland,'12,30 to 34,28.8,39.2,32,Extra-EU-28
Switzerland,'12,30 to 34,21.1,36.9,42.1,Foreign country
Switzerland,'12,30 to 34,3.6,51.3,45.1,Reporting country
Switzerland,'12,30 to 34,10.8,45.4,43.8,Total
Switzerland,'13,25 to 54,18.7,34.4,46.9,EU-28
Switzerland,'13,25 to 54,31,37.8,31.3,Extra-EU-28
Switzerland,'13,25 to 54,24,35.9,40.1,Foreign country
Switzerland,'13,25 to 54,4.8,53.3,41.9,Reporting country
Switzerland,'13,25 to 54,11.7,47,41.2,Total
Switzerland,'13,30 to 34,13.1,34,52.9,EU-28
Switzerland,'13,30 to 34,27.4,37.6,35,Extra-EU-28
Switzerland,'13,30 to 34,19.6,35.7,44.7,Foreign country
Switzerland,'13,30 to 34,4,48.8,47.2,Reporting country
Switzerland,'13,30 to 34,10.6,43.3,46.1,Total
Switzerland,'14,25 to 54,17.7,34.2,48.1,EU-28
Switzerland,'14,25 to 54,28.3,37.9,33.8,Extra-EU-28
Switzerland,'14,25 to 54,22.2,35.8,42,Foreign country
Switzerland,'14,25 to 54,4.5,52.3,43.2,Reporting country
Switzerland,'14,25 to 54,11,46.3,42.7,Total
