Host Country,Year,Sex,AROPE %,COB
Switzerland,'11,Females,21.9,Foreign country
Switzerland,'11,Females,17.2,Reporting country
Switzerland,'11,Males,16.1,EU-28
Switzerland,'11,Males,25,Extra-EU-28
Switzerland,'11,Males,19.7,Foreign country
Switzerland,'11,Males,12.8,Reporting country
Switzerland,'11,Total,17.8,EU-28
Switzerland,'11,Total,25.3,Extra-EU-28
Switzerland,'11,Total,20.8,Foreign country
Switzerland,'11,Total,15.1,Reporting country
Switzerland,'12,Females,19.4,EU-28
Switzerland,'12,Females,30.1,Extra-EU-28
Switzerland,'12,Females,23.6,Foreign country
Switzerland,'12,Females,17.4,Reporting country
Switzerland,'12,Males,17.6,EU-28
Switzerland,'12,Males,27.4,Extra-EU-28
Switzerland,'12,Males,21.5,Foreign country
Switzerland,'12,Males,12.5,Reporting country
Switzerland,'12,Total,18.5,EU-28
Switzerland,'12,Total,28.8,Extra-EU-28
Switzerland,'12,Total,22.6,Foreign country
Switzerland,'12,Total,15,Reporting country
Switzerland,'13,Females,17.4,EU-28
Switzerland,'13,Females,22.4,Extra-EU-28
Switzerland,'13,Females,19.4,Foreign country
Switzerland,'13,Females,17.5,Reporting country
Switzerland,'13,Males,14.9,EU-28
Switzerland,'13,Males,22.6,Extra-EU-28
Switzerland,'13,Males,17.9,Foreign country
Switzerland,'13,Males,12.7,Reporting country
Switzerland,'13,Total,16.2,EU-28
Switzerland,'13,Total,22.5,Extra-EU-28
Switzerland,'13,Total,18.7,Foreign country
Switzerland,'13,Total,15.1,Reporting country
Switzerland,'14,Females,21.5,EU-28
Switzerland,'14,Females,22.1,Extra-EU-28
Switzerland,'14,Females,21.7,Foreign country
Switzerland,'14,Females,16.9,Reporting country
Switzerland,'14,Males,15.7,EU-28
Switzerland,'14,Males,20.9,Extra-EU-28
Switzerland,'14,Males,17.7,Foreign country
Switzerland,'14,Males,12.6,Reporting country
Switzerland,'14,Total,18.7,EU-28
Switzerland,'14,Total,21.6,Extra-EU-28
Switzerland,'14,Total,19.8,Foreign country
Switzerland,'14,Total,14.7,Reporting country
Switzerland,'15,Females,20.6,EU-28
Switzerland,'15,Females,29.7,Extra-EU-28
Switzerland,'15,Females,24.3,Foreign country
Switzerland,'15,Females,17.5,Reporting country
Switzerland,'15,Males,18,EU-28
Switzerland,'15,Males,27.8,Extra-EU-28
Switzerland,'15,Males,21.6,Foreign country
Switzerland,'15,Males,13.1,Reporting country
Switzerland,'15,Total,19.3,EU-28
Switzerland,'15,Total,28.8,Extra-EU-28
Switzerland,'15,Total,23,Foreign country
Switzerland,'15,Total,15.3,Reporting country
Sweden,'06,Females,30,Foreign country
Sweden,'06,Females,14,Reporting country
Sweden,'06,Males,32.5,Foreign country
Sweden,'06,Males,11.9,Reporting country
Sweden,'06,Total,31.2,Foreign country
Sweden,'06,Total,13,Reporting country
Sweden,'07,Females,27.4,Foreign country
Sweden,'07,Females,11.9,Reporting country
Sweden,'07,Males,29.8,Foreign country
Sweden,'07,Males,10.4,Reporting country
Sweden,'07,Total,28.5,Foreign country
Sweden,'07,Total,11.2,Reporting country
Sweden,'08,Females,31.1,Foreign country
Sweden,'08,Females,14,Reporting country
Sweden,'08,Males,30.4,Foreign country
Sweden,'08,Males,10.8,Reporting country
Sweden,'08,Total,30.8,Foreign country
Sweden,'08,Total,12.5,Reporting country
Sweden,'09,Females,25.8,EU-28
Sweden,'09,Females,35.5,Extra-EU-28
Sweden,'09,Females,31.4,Foreign country
Sweden,'09,Females,16,Reporting country
Sweden,'09,Males,20.9,EU-28
Sweden,'09,Males,34,Extra-EU-28
Sweden,'09,Males,29.1,Foreign country
Sweden,'09,Males,12,Reporting country
Sweden,'09,Total,23.6,EU-28
Sweden,'09,Total,34.8,Extra-EU-28
Sweden,'09,Total,30.3,Foreign country
Sweden,'09,Total,14,Reporting country
Sweden,'10,Females,24,EU-28
Sweden,'10,Females,35,Extra-EU-28
Sweden,'10,Females,30.5,Foreign country
Sweden,'10,Females,15,Reporting country
Sweden,'10,Males,14.7,EU-28
Sweden,'10,Males,29.7,Extra-EU-28
Sweden,'10,Males,24.2,Foreign country
Sweden,'10,Males,11.5,Reporting country
Sweden,'10,Total,19.8,EU-28
Sweden,'10,Total,32.4,Extra-EU-28
Sweden,'10,Total,27.5,Foreign country
Sweden,'10,Total,13.3,Reporting country
Sweden,'11,Females,23.6,EU-28
Sweden,'11,Females,39,Extra-EU-28
Sweden,'11,Females,32.7,Foreign country
Sweden,'11,Females,16.4,Reporting country
Sweden,'11,Males,10.4,EU-28
Sweden,'11,Males,32.9,Extra-EU-28
Sweden,'11,Males,24.8,Foreign country
Sweden,'11,Males,12,Reporting country
Sweden,'11,Total,17.8,EU-28
Sweden,'11,Total,36,Extra-EU-28
Sweden,'11,Total,29,Foreign country
Sweden,'11,Total,14.2,Reporting country
Sweden,'12,Females,24.7,EU-28
Sweden,'12,Females,32.4,Extra-EU-28
Sweden,'12,Females,29.2,Foreign country
Sweden,'12,Females,15.4,Reporting country
Sweden,'12,Males,18.8,EU-28
Sweden,'12,Males,34,Extra-EU-28
Sweden,'12,Males,28.2,Foreign country
Sweden,'12,Males,11.4,Reporting country
Sweden,'12,Total,22.1,EU-28
Sweden,'12,Total,33.2,Extra-EU-28
Sweden,'12,Total,28.7,Foreign country
Sweden,'12,Total,13.5,Reporting country
Sweden,'13,Females,20.7,EU-28
Sweden,'13,Females,36.3,Extra-EU-28
Sweden,'13,Females,30,Foreign country
Sweden,'13,Females,15.8,Reporting country
Sweden,'13,Males,14.2,EU-28
Sweden,'13,Males,35.4,Extra-EU-28
Sweden,'13,Males,27.5,Foreign country
Sweden,'13,Males,12.4,Reporting country
Sweden,'13,Total,17.8,EU-28
Sweden,'13,Total,35.9,Extra-EU-28
Sweden,'13,Total,28.8,Foreign country
Sweden,'13,Total,14.1,Reporting country
Sweden,'14,Females,24.4,EU-28
Sweden,'14,Females,37.2,Extra-EU-28
Sweden,'14,Females,32.1,Foreign country
Sweden,'14,Females,15.5,Reporting country
Sweden,'14,Males,23.6,EU-28
Sweden,'14,Males,38.9,Extra-EU-28
Sweden,'14,Males,33.7,Foreign country
Sweden,'14,Males,12.8,Reporting country
Sweden,'14,Total,24.1,EU-28
Sweden,'14,Total,38,Extra-EU-28
Sweden,'14,Total,32.8,Foreign country
Sweden,'14,Total,14.2,Reporting country
Sweden,'15,Females,22.6,EU-28
Sweden,'15,Females,38.1,Extra-EU-28
Sweden,'15,Females,32.3,Foreign country
Sweden,'15,Females,15.2,Reporting country
Sweden,'15,Males,20.3,EU-28
Sweden,'15,Males,38.7,Extra-EU-28
Sweden,'15,Males,32.8,Foreign country
Sweden,'15,Males,12.1,Reporting country
Sweden,'15,Total,21.6,EU-28
Sweden,'15,Total,38.4,Extra-EU-28
Sweden,'15,Total,32.5,Foreign country
Sweden,'15,Total,13.7,Reporting country
Spain,'06,Females,34,Foreign country
Spain,'06,Females,23.8,Reporting country
Spain,'06,Males,31.1,Foreign country
Spain,'06,Males,20.1,Reporting country
Spain,'06,Total,32.7,Foreign country
Spain,'06,Total,22,Reporting country
Spain,'07,Females,32.4,Foreign country
Spain,'07,Females,22.8,Reporting country
Spain,'07,Males,28.3,Foreign country
Spain,'07,Males,19.5,Reporting country
Spain,'07,Total,30.4,Foreign country
Spain,'07,Total,21.2,Reporting country
Spain,'08,Females,46.3,Foreign country
Spain,'08,Females,20.8,Reporting country
Spain,'08,Males,44.6,Foreign country
Spain,'08,Males,17.4,Reporting country
Spain,'08,Total,45.4,Foreign country
Spain,'08,Total,19.1,Reporting country
Spain,'09,Females,37.7,EU-28
Spain,'09,Females,46.6,Extra-EU-28
Spain,'09,Females,44.1,Foreign country
Spain,'09,Females,21.6,Reporting country
Spain,'09,Males,38.3,EU-28
Spain,'09,Males,45,Extra-EU-28
Spain,'09,Males,42.9,Foreign country
Spain,'09,Males,18.9,Reporting country
Spain,'09,Total,38,EU-28
Spain,'09,Total,45.8,Extra-EU-28
Spain,'09,Total,43.5,Foreign country
Spain,'09,Total,20.3,Reporting country
Spain,'10,Females,38.6,EU-28
Spain,'10,Females,45.7,Extra-EU-28
Spain,'10,Females,43.7,Foreign country
Spain,'10,Females,22.5,Reporting country
Spain,'10,Males,40.4,EU-28
Spain,'10,Males,45.6,Extra-EU-28
Spain,'10,Males,44,Foreign country
Spain,'10,Males,20.9,Reporting country
Spain,'10,Total,39.5,EU-28
Spain,'10,Total,45.7,Extra-EU-28
Spain,'10,Total,43.8,Foreign country
Spain,'10,Total,21.7,Reporting country
Spain,'11,Females,37.6,EU-28
