Host Country,Year,NEET %,COB
Slovakia,'10,18.9,Reporting country
Slovakia,'10,19,Total
Slovakia,'11,18.7,Reporting country
Slovakia,'11,18.7,Total
Slovakia,'12,18.8,Reporting country
Slovakia,'12,18.8,Total
Slovakia,'13,19,Reporting country
Slovakia,'13,19,Total
Slovakia,'14,18.2,Reporting country
Slovakia,'14,18.2,Total
Slovakia,'15,17.2,Reporting country
Slovakia,'15,17.2,Total
Slovakia,'16,15.9,Reporting country
Slovakia,'16,15.9,Total
Romania,'06,16.5,Reporting country
Romania,'07,14.8,Reporting country
Romania,'08,13.2,Reporting country
Romania,'09,15.7,Reporting country
Romania,'10,18.9,Reporting country
Romania,'10,18.9,Total
Romania,'11,19.5,Reporting country
Romania,'11,19.5,Total
Romania,'12,19.3,Reporting country
Romania,'12,19.3,Total
Romania,'13,19.6,Reporting country
Romania,'13,19.6,Total
Romania,'14,19.9,Reporting country
Romania,'14,19.9,Total
Romania,'15,20.9,Reporting country
Romania,'15,20.9,Total
Romania,'16,20.2,Reporting country
Romania,'16,20.2,Total
Portugal,'06,14.2,EU-28
Portugal,'06,12.9,Extra-EU-28
Portugal,'06,13.3,Foreign country
Portugal,'06,11.9,Reporting country
Portugal,'07,14.1,EU-28
Portugal,'07,14.9,Extra-EU-28
Portugal,'07,14.7,Foreign country
Portugal,'07,12.5,Reporting country
Portugal,'08,13.9,EU-28
Portugal,'08,13.3,Extra-EU-28
Portugal,'08,13.4,Foreign country
Portugal,'08,11.7,Reporting country
Portugal,'09,16.6,EU-28
Portugal,'09,19,Extra-EU-28
Portugal,'09,18.5,Foreign country
Portugal,'09,11.9,Reporting country
Portugal,'10,17.6,EU-28
Portugal,'10,23.1,Extra-EU-28
Portugal,'10,21.7,Foreign country
Portugal,'10,12.8,Reporting country
Portugal,'10,13.6,Total
Portugal,'11,17.8,EU-28
Portugal,'11,17.4,Extra-EU-28
Portugal,'11,17.5,Foreign country
Portugal,'11,13.6,Reporting country
Portugal,'11,13.9,Total
Portugal,'12,16.5,Extra-EU-28
Portugal,'12,16,Foreign country
Portugal,'12,15.6,Reporting country
Portugal,'12,15.6,Total
Portugal,'13,20,Extra-EU-28
Portugal,'13,18.5,Foreign country
Portugal,'13,16.3,Reporting country
Portugal,'13,16.4,Total
Portugal,'14,14.1,EU-28
Portugal,'14,18.3,Extra-EU-28
Portugal,'14,17.2,Foreign country
Portugal,'14,14.4,Reporting country
Portugal,'14,14.6,Total
Portugal,'15,14,EU-28
Portugal,'15,19.7,Extra-EU-28
Portugal,'15,18.2,Foreign country
Portugal,'15,12.8,Reporting country
Portugal,'15,13.2,Total
Portugal,'16,18.4,Extra-EU-28
Portugal,'16,17.1,Foreign country
Portugal,'16,12.5,Reporting country
Portugal,'16,12.8,Total
Poland,'06,16.6,Reporting country
Poland,'07,14.4,Reporting country
Poland,'08,12.7,Reporting country
Poland,'09,14,Reporting country
Poland,'10,14.8,Reporting country
Poland,'10,14.8,Total
Poland,'11,15.2,Reporting country
Poland,'11,15.2,Total
Poland,'12,15.7,Reporting country
Poland,'12,15.7,Total
Poland,'13,16.2,Reporting country
Poland,'13,16.2,Total
Poland,'14,15.5,Reporting country
Poland,'14,15.5,Total
Poland,'15,14.6,Reporting country
Poland,'15,14.6,Total
Poland,'16,13.8,Reporting country
Poland,'16,13.8,Total
Norway,'06,13.6,Extra-EU-28
Norway,'06,12.3,Foreign country
Norway,'06,5.4,Reporting country
Norway,'07,13,Extra-EU-28
Norway,'07,11.1,Foreign country
Norway,'07,5.1,Reporting country
Norway,'08,11.8,Extra-EU-28
Norway,'08,9.9,Foreign country
Norway,'08,4.7,Reporting country
Norway,'09,5.8,EU-28
Norway,'09,11.3,Extra-EU-28
Norway,'09,9.9,Foreign country
Norway,'09,5.8,Reporting country
Norway,'10,9,EU-28
Norway,'10,15,Extra-EU-28
Norway,'10,13.2,Foreign country
Norway,'10,6,Reporting country
Norway,'10,6.7,Total
Norway,'11,11.3,EU-28
Norway,'11,15.4,Extra-EU-28
Norway,'11,14,Foreign country
Norway,'11,5.7,Reporting country
Norway,'11,6.6,Total
Norway,'12,12.5,EU-28
Norway,'12,13.2,Extra-EU-28
Norway,'12,12.9,Foreign country
Norway,'12,5.5,Reporting country
Norway,'12,6.4,Total
Norway,'13,10.8,EU-28
Norway,'13,13.5,Extra-EU-28
Norway,'13,12.5,Foreign country
Norway,'13,6.2,Reporting country
Norway,'13,7,Total
Norway,'14,11.8,EU-28
Norway,'14,13.5,Extra-EU-28
Norway,'14,12.9,Foreign country
Norway,'14,6.3,Reporting country
Norway,'14,7.1,Total
Norway,'15,12.1,EU-28
Norway,'15,14.7,Extra-EU-28
Norway,'15,13.7,Foreign country
