Host Country,Year,Sex,AROPE %,Citizen
Switzerland,'15,Females,17.9,Reporting country
Switzerland,'15,Males,17.9,EU-28
Switzerland,'15,Males,28.7,Extra-EU-28
Switzerland,'15,Males,21,Foreign country
Switzerland,'15,Males,13.8,Reporting country
Switzerland,'15,Total,19.4,EU-28
Switzerland,'15,Total,30.8,Extra-EU-28
Switzerland,'15,Total,23,Foreign country
Switzerland,'15,Total,15.9,Reporting country
Sweden,'06,Females,40.2,Foreign country
Sweden,'06,Females,15.1,Reporting country
Sweden,'06,Males,44,Foreign country
Sweden,'06,Males,12.9,Reporting country
Sweden,'06,Total,42.2,Foreign country
Sweden,'06,Total,14,Reporting country
Sweden,'07,Females,34.9,Foreign country
Sweden,'07,Females,13.2,Reporting country
Sweden,'07,Males,35.6,Foreign country
Sweden,'07,Males,11.7,Reporting country
Sweden,'07,Total,35.3,Foreign country
Sweden,'07,Total,12.5,Reporting country
Sweden,'08,Females,38,Foreign country
Sweden,'08,Females,15.5,Reporting country
Sweden,'08,Males,38.1,Foreign country
Sweden,'08,Males,12.1,Reporting country
Sweden,'08,Total,38.1,Foreign country
Sweden,'08,Total,13.8,Reporting country
Sweden,'09,Females,27.6,EU-28
Sweden,'09,Females,56.1,Extra-EU-28
Sweden,'09,Females,39.3,Foreign country
Sweden,'09,Females,17.1,Reporting country
Sweden,'09,Males,35.8,EU-28
Sweden,'09,Males,49,Extra-EU-28
Sweden,'09,Males,41.7,Foreign country
Sweden,'09,Males,12.9,Reporting country
Sweden,'09,Total,31.7,EU-28
Sweden,'09,Total,52.3,Extra-EU-28
Sweden,'09,Total,40.5,Foreign country
Sweden,'09,Total,15.1,Reporting country
Sweden,'10,Females,26.7,EU-28
Sweden,'10,Females,53.5,Extra-EU-28
Sweden,'10,Females,38.6,Foreign country
Sweden,'10,Females,16.2,Reporting country
Sweden,'10,Males,23.3,EU-28
Sweden,'10,Males,49.1,Extra-EU-28
Sweden,'10,Males,35.2,Foreign country
Sweden,'10,Males,12.2,Reporting country
Sweden,'10,Total,25,EU-28
Sweden,'10,Total,51.3,Extra-EU-28
Sweden,'10,Total,36.9,Foreign country
Sweden,'10,Total,14.3,Reporting country
Sweden,'11,Females,28,EU-28
Sweden,'11,Females,60.5,Extra-EU-28
Sweden,'11,Females,44.4,Foreign country
Sweden,'11,Females,17.5,Reporting country
Sweden,'11,Males,17.6,EU-28
Sweden,'11,Males,55.7,Extra-EU-28
Sweden,'11,Males,37.4,Foreign country
Sweden,'11,Males,12.5,Reporting country
